# number of frozen, occupied, single-occupancy orbitals = 2
# number of active, occupied, single-occupancy orbitals = 4
# number of active, vacant, single-occupancy orbitals = 6
# number of frozen, vacant, single-occupancy orbitals = 8
# size of active space = 10
# number of qubits = 10
# basis set = sto-3g
# interatomic separation (angstroms) = 2.0
# fermion-to-qubit operator mapping = jordan-wigner
# number of terms in sum of Pauli strings = 156
# one-norm of sum of Pauli strings (Hartrees) = 18.125380876421517
# eigenvalue lower bound from shifted one-norm (Hartrees) = -18.125380876421517
# eigenvalue upper bound from shifted one-norm (Hartrees) = -5.618847027731309
# Hartree-Fock energy (Hartrees) = -14.609744737995712
# runtime for Hartree-Fock calculation (seconds) = 0.19323492050170898
# runtime for active space calculation (seconds) = 0.0005738735198974609
# runtime for fermion-to-qubit calculation (seconds) = 0.008050918579101562
-1.18721139520764130e+01 IIIIIIIIII
 1.13007548496108923e+00 ZIIIIIIIII
 1.13007548496108901e+00 IZIIIIIIII
-1.90408482634888063e-02 IIZIIIIIII
-1.90408482634888063e-02 IIIZIIIIII
-7.42871409302987562e-02 IIIIZIIIII
-7.42871409302987562e-02 IIIIIZIIII
-7.34798312692502703e-02 IIIIIIZIII
-7.34798312692502703e-02 IIIIIIIZII
-7.34798312692504368e-02 IIIIIIIIZI
-7.34798312692503813e-02 IIIIIIIIIZ
 2.40910106280046998e-01 ZZIIIIIIII
 8.06882136949994416e-02 ZIZIIIIIII
 8.57487723496558607e-02 ZIIZIIIIII
 1.65297892964870359e-02 XZZZXIIIII
 1.65297892964870359e-02 YZZZYIIIII
 6.88704253898898416e-02 ZIIIZIIIII
 7.22225855340038470e-02 ZIIIIZIIII
 7.54747366906245026e-02 ZIIIIIZIII
 7.64513672359036639e-02 ZIIIIIIZII
 7.54747366906244610e-02 ZIIIIIIIZI
 7.64513672359036223e-02 ZIIIIIIIIZ
 8.57487723496558607e-02 IZZIIIIIII
 8.06882136949994416e-02 IZIZIIIIII
 7.22225855340038470e-02 IZIIZIIIII
 1.65297892964870324e-02 IXZZZXIIII
 1.65297892964870324e-02 IYZZZYIIII
 6.88704253898898416e-02 IZIIIZIIII
 7.64513672359036639e-02 IZIIIIZIII
 7.54747366906245026e-02 IZIIIIIZII
 7.64513672359036223e-02 IZIIIIIIZI
 7.54747366906244610e-02 IZIIIIIIIZ
 6.86495408006640162e-02 IIZZIIIIII
 4.55621349459343558e-02 IIZIZIIIII
 5.64356103945727119e-02 IIZIIZIIII
 5.20259068601553604e-02 IIZIIIZIII
 6.49986366169534452e-02 IIZIIIIZII
 5.20259068601553257e-02 IIZIIIIIZI
 6.49986366169534036e-02 IIZIIIIIIZ
 5.64356103945727119e-02 IIIZZIIIII
 4.55621349459343558e-02 IIIZIZIIII
 6.49986366169534452e-02 IIIZIIZIII
 5.20259068601553604e-02 IIIZIIIZII
 6.49986366169534036e-02 IIIZIIIIZI
 5.20259068601553257e-02 IIIZIIIIIZ
 5.91928230463134447e-02 IIIIZZIIII
 5.05852297548900140e-02 IIIIZIZIII
 5.50957522446460859e-02 IIIIZIIZII
 5.05852297548899862e-02 IIIIZIIIZI
 5.50957522446460582e-02 IIIIZIIIIZ
 5.50957522446460859e-02 IIIIIZZIII
 5.05852297548900140e-02 IIIIIZIZII
 5.50957522446460582e-02 IIIIIZIIZI
 5.05852297548899862e-02 IIIIIZIIIZ
 6.56410658907592010e-02 IIIIIIZZII
 5.68568951901048947e-02 IIIIIIZIZI
 5.97849520903229736e-02 IIIIIIZIIZ
 5.97849520903229736e-02 IIIIIIIZZI
 5.68568951901048947e-02 IIIIIIIZIZ
 6.56410658907591177e-02 IIIIIIIIZZ
 2.11179115679293941e-02 ZXZZZXIIII
 2.11179115679293941e-02 ZYZZZYIIII
 2.11179115679293976e-02 XIZZXIIIII
 2.11179115679293976e-02 YIZZYIIIII
-5.06055865465640086e-03 XXYYIIIIII
 5.06055865465640086e-03 XYYXIIIIII
 5.06055865465640086e-03 YXXYIIIIII
-5.06055865465640086e-03 YYXXIIIIII
-3.35216014411401659e-03 XXIIYYIIII
 3.35216014411401659e-03 XYIIYXIIII
 3.35216014411401659e-03 YXIIXYIIII
